fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,1,0.909090909,0,0.952380952,1,1,0.918779541,0.902244925
2,0.2,1.00E-05,0.0001,1,0.909090909,0,0.952380952,1,1,0.918779541,0.954678714
3,0.2,1.00E-05,0.0001,1,0.9,0,0.947368421,1,1,0.9141741,0.942861617
4,0.2,1.00E-05,0.0001,1,0.9,0,0.947368421,1,1,0.9141741,0.950210154
5,0.2,1.00E-05,0.0001,1,0.9,0,0.947368421,1,1,0.9141741,0.908411384
Average,0.2,1.00E-05,0.0001,1,0.903636364,0,0.949373434,1,1,0.916016276,0.931681335
