fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,0.9285714285714286,0.8666666666666667,0.047619047619047616,0.896551724137931,0.9650793650793651,0.9657936507936508,0.828302688169126,0.542739987373352
2,0.2,1e-05,0.0001,1.0,0.9285714285714286,0.0,0.9629629629629629,1.0,0.9999999999999999,0.9414688716912718,0.39902064204216003
3,0.2,1e-05,0.0001,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.7857142857142857,0.891156462585034,0.8813497217068645,0.6428571428571429,0.45163029432296753
4,0.2,1e-05,0.0001,1.0,0.9285714285714286,0.0,0.9629629629629629,1.0,0.9999999999999999,0.9414688716912718,0.47855111956596375
5,0.2,1e-05,0.0001,0.6842105263157895,0.9285714285714286,0.2857142857142857,0.7878787878787878,0.8673469387755102,0.7540423861852434,0.6321954228176434,0.32318413257598877
Average,0.2,1e-05,0.0001,0.8796992481203008,0.8876190476190476,0.09523809523809523,0.8792141447313859,0.9447165532879819,0.9202371517371517,0.7972585994452912,0.43902522325515747
