fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,1,0.95,0,0.974358974,1,1,0.955751818,0.607375681
2,0.2,1.00E-05,0.0001,1,0.95,0,0.974358974,1,1,0.955751818,0.690242708
3,0.2,1.00E-05,0.0001,0.947368421,0.9,0.04,0.923076923,0.986,0.98375731,0.865206909,0.416499496
4,0.2,1.00E-05,0.0001,0.9375,0.789473684,0.04,0.857142857,0.951578947,0.945288468,0.771727873,0.33338204
5,0.2,1.00E-05,0.0001,0.642857143,0.947368421,0.4,0.765957447,0.825263158,0.781638013,0.56362148,0.344649732
Average,0.2,1.00E-05,0.0001,0.905545113,0.907368421,0.096,0.898979035,0.952568421,0.942136758,0.82241198,0.478429943
