fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,1,0.989247312,0,0.994594595,1,1,0.987677967,0.985496581
2,0.2,1.00E-05,0.0001,1,0.989247312,0,0.994594595,1,1,0.987677967,0.993863821
3,0.2,1.00E-05,0.0001,1,0.989247312,0,0.994594595,1,1,0.987677967,0.175829262
4,0.2,1.00E-05,0.0001,1,0.97826087,0,0.989010989,0.999540723,0.999656751,0.975427702,0.986569464
5,0.2,1.00E-05,0.0001,1,0.989130435,0,0.994535519,1,1,0.987619619,0.86889869
Average,0.2,1.00E-05,0.0001,1,0.987026648,0,0.993466058,0.999908145,0.99993135,0.985216244,0.802131534
