fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,1,0.947368421,0,0.972972973,1,1,0.945905303,0.341433197
2,0.2,1.00E-05,0.0001,1,0.894736842,0,0.944444444,0.996904025,0.997368421,0.894736842,0.585032344
3,0.2,1.00E-05,0.0001,0.944444444,0.894736842,0.058823529,0.918918919,0.981424149,0.984032932,0.834622326,0.397852987
4,0.2,1.00E-05,0.0001,1,0.263157895,0,0.416666667,0.569078947,0.711557028,0.374634325,0.521843493
5,0.2,1.00E-05,0.0001,1,0.947368421,0,0.972972973,1,1,0.94426737,0.78004235
Average,0.2,1.00E-05,0.0001,0.988888889,0.789473684,0.011764706,0.845195195,0.909481424,0.938591676,0.798833233,0.525240898
