fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.8888888888888888,0.0,0.9411764705882353,1.0,1.0,0.8944271909999159,0.69050532579422
2,0.2,1e-05,0.0001,0.75,0.6666666666666666,0.2222222222222222,0.7058823529411765,0.8209876543209876,0.8390652557319225,0.4472135954999579,0.5364586114883423
3,0.2,1e-05,0.0001,1.0,0.75,0.0,0.8571428571428571,0.9624999999999999,0.9659090909090909,0.7905694150420948,0.6577703952789307
4,0.2,1e-05,0.0001,1.0,0.875,0.0,0.9333333333333333,1.0,1.0,0.8918825850158447,0.9253175854682922
5,0.2,1e-05,0.0001,0.875,0.875,0.1,0.875,0.9875,0.9861111111111112,0.775,0.6335213780403137
Average,0.2,1e-05,0.0001,0.925,0.8111111111111111,0.06444444444444444,0.8625070028011205,0.9541975308641975,0.958217091550425,0.7598185573115626,0.6887146234512329
