fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.7777777777777778,0.0,0.875,0.9876543209876543,0.9888888888888889,0.7977240352174656,0.4602351188659668
2,0.2,1e-05,0.0001,0.6666666666666666,0.75,0.3333333333333333,0.7058823529411765,0.6666666666666667,0.5793154761904762,0.4166666666666667,0.5036312341690063
3,0.2,1e-05,0.0001,1.0,0.875,0.0,0.9333333333333333,1.0,1.0,0.8874119674649423,0.4534797966480255
4,0.2,1e-05,0.0001,1.0,0.875,0.0,0.9333333333333333,1.0,1.0,0.8874119674649423,0.4865507483482361
5,0.2,1e-05,0.0001,0.875,0.875,0.1111111111111111,0.875,0.9305555555555556,0.906795634920635,0.7638888888888888,0.47726956009864807
Average,0.2,1e-05,0.0001,0.9083333333333332,0.8305555555555555,0.08888888888888888,0.8645098039215687,0.9169753086419753,0.8949999999999999,0.7506207051405812,0.4762333035469055
