fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,1,0.979591837,0,0.989690722,1,1,0.979795897,0.790681422
2,0.2,1.00E-05,0.0001,1,0.979591837,0,0.989690722,1,1,0.979795897,0.847331047
3,0.2,1.00E-05,0.0001,0.694915254,0.836734694,0.367346939,0.759259259,0.718867139,0.660960157,0.479478929,0.371395707
4,0.2,1.00E-05,0.0001,1,0.979166667,0,0.989473684,1,1,0.979583245,0.911915064
5,0.2,1.00E-05,0.0001,1,0.979166667,0,0.989473684,1,1,0.979583245,0.982183218
Average,0.2,1.00E-05,0.0001,0.938983051,0.95085034,0.073469388,0.943517614,0.943773428,0.932192031,0.879647443,0.78070128
