fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,0.75,0.5,0.1111111111111111,0.6,0.7777777777777778,0.7999999999999999,0.43082021842766455,0.44269803166389465
2,0.2,1e-05,0.0001,0.8333333333333334,0.8333333333333334,0.1111111111111111,0.8333333333333334,0.9259259259259258,0.8734126984126983,0.7222222222222222,0.3765600919723511
3,0.2,1e-05,0.0001,0.8,0.6666666666666666,0.1111111111111111,0.7272727272727273,0.8888888888888888,0.8964646464646464,0.5773502691896257,0.5570162534713745
4,0.2,1e-05,0.0001,0.3333333333333333,0.8,0.8888888888888888,0.47058823529411764,0.4,0.37573260073260073,-0.12171612389003691,0.4953935444355011
5,0.2,1e-05,0.0001,0.5,0.8,0.4444444444444444,0.6153846153846154,0.7555555555555555,0.6453968253968254,0.34426518632954817,0.48430678248405457
Average,0.2,1e-05,0.0001,0.6433333333333334,0.72,0.3333333333333333,0.6493157822569587,0.7496296296296296,0.7182013542013541,0.39058835445580475,0.47119492292404175
