fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,0.5789473684210527,0.7857142857142857,0.4444444444444444,0.6666666666666666,0.738095238095238,0.7391554610349887,0.34470668367478197,0.4494173228740692
2,0.2,1e-05,0.0001,1.0,0.9285714285714286,0.0,0.9629629629629629,1.0,1.0,0.9379228369755696,0.532341718673706
3,0.2,1e-05,0.0001,0.75,0.8571428571428571,0.2222222222222222,0.8,0.8968253968253967,0.8916173135921035,0.629940788348712,0.5174100399017334
4,0.2,1e-05,0.0001,0.9285714285714286,0.9285714285714286,0.058823529411764705,0.9285714285714286,0.9915966386554622,0.9901360544217686,0.8697478991596639,0.5285468697547913
5,0.2,1e-05,0.0001,0.5454545454545454,0.8571428571428571,0.5882352941176471,0.6666666666666666,0.6764705882352942,0.6990895249802394,0.29482132950548373,0.5100626945495605
Average,0.2,1e-05,0.0001,0.7605946684894053,0.8714285714285713,0.2627450980392157,0.8049735449735451,0.8605975723622782,0.8639996708058201,0.6154279075328423,0.5075557231903076
