fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.9411764705882353,0.0,0.9696969696969697,1.0,1.0,0.9428090415820634,0.8565905094146729
2,0.2,1e-05,0.0001,1.0,0.9375,0.0,0.967741935483871,1.0,1.0,0.9409658158863513,0.7007489204406738
3,0.2,1e-05,0.0001,1.0,0.9375,0.0,0.967741935483871,1.0,1.0,0.9409658158863513,0.857945442199707
4,0.2,1e-05,0.0001,1.0,0.9375,0.0,0.967741935483871,1.0,1.0,0.9409658158863513,0.9038406014442444
5,0.2,1e-05,0.0001,1.0,0.875,0.0,0.9333333333333333,0.9926470588235294,0.9930555555555556,0.8848133909712856,0.609592854976654
Average,0.2,1e-05,0.0001,1.0,0.9257352941176471,0.0,0.9612512218963832,0.9985294117647058,0.9986111111111111,0.9301039760424805,0.7857436537742615
