fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,0.75,0.6428571428571429,0.21428571428571427,0.6923076923076923,0.7551020408163265,0.7792763025956302,0.43301270189221935,0.48197293281555176
2,0.2,1e-05,0.0001,0.8333333333333334,0.7692307692307693,0.13333333333333333,0.8,0.8205128205128207,0.7594666017742941,0.6408461287109104,0.49070385098457336
3,0.2,1e-05,0.0001,0.7777777777777778,0.5384615384615384,0.13333333333333333,0.6363636363636364,0.7230769230769232,0.7204822954822956,0.43262511765690437,0.4557185471057892
4,0.2,1e-05,0.0001,0.9230769230769231,0.9230769230769231,0.06666666666666667,0.9230769230769231,0.9538461538461539,0.9255208466746927,0.8564102564102564,0.438579797744751
5,0.2,1e-05,0.0001,0.8571428571428571,0.46153846153846156,0.06666666666666667,0.6,0.7230769230769232,0.7755941701916933,0.4547940268270977,0.5012039542198181
Average,0.2,1e-05,0.0001,0.8282661782661782,0.6670329670329671,0.12285714285714285,0.7303496503496503,0.7951229722658295,0.7920680433437213,0.5635376462994777,0.47363582253456116
