fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,1,0.75,0,0.857142857,1,1,0.790569415,0.446231097
2,0.2,1.00E-05,0.0001,0.5,0.75,0.6,0.6,0.55,0.517857143,0.158113883,0.504294097
3,0.2,1.00E-05,0.0001,0.428571429,0.75,0.8,0.545454545,0.35,0.44047619,-0.05976143,0.51388061
4,0.2,1.00E-05,0.0001,0.666666667,0.5,0.2,0.571428571,0.8,0.830357143,0.316227766,0.494658232
5,0.2,1.00E-05,0.0001,0,0,0,0,0.111111111,0.261904762,0,0.503974
Average,0.2,1.00E-05,0.0001,0.519047619,0.55,0.32,0.514805195,0.562222222,0.610119048,0.241029927,0.492613
