fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.9333333333333333,0.0,0.9655172413793104,1.0,1.0,0.9428090415820634,0.5934661030769348
2,0.2,1e-05,0.0001,0.625,0.6666666666666666,0.3157894736842105,0.6451612903225806,0.6771929824561403,0.6819470435560209,0.3490449235764129,0.5617806911468506
3,0.2,1e-05,0.0001,0.5652173913043478,0.8666666666666667,0.5263157894736842,0.6842105263157895,0.6842105263157896,0.6137277896681921,0.3612343522752406,0.40623098611831665
4,0.2,1e-05,0.0001,0.875,0.9333333333333333,0.10526315789473684,0.9032258064516129,0.9543859649122807,0.9098304854187206,0.8237460196403346,0.3319768011569977
5,0.2,1e-05,0.0001,1.0,0.26666666666666666,0.0,0.42105263157894735,0.5964912280701754,0.6636598275040989,0.4109609335312651,0.487914115190506
Average,0.2,1e-05,0.0001,0.8130434782608695,0.7333333333333334,0.1894736842105263,0.7238334992096481,0.7824561403508772,0.7738330292294066,0.5775590541210633,0.47627371549606323
