fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.9879518072289156,0.0,0.9939393939393939,1.0,1.0,0.9881619277815512,0.9950514435768127
2,0.2,1e-05,0.0001,0.925,0.891566265060241,0.07058823529411765,0.9079754601226994,0.9668320340184268,0.9599845041543393,0.8218521858573428,0.23759682476520538
3,0.2,1e-05,0.0001,0.8279569892473119,0.927710843373494,0.18823529411764706,0.875,0.9588944011339476,0.9593620773656323,0.7437041787185316,0.3156106173992157
4,0.2,1e-05,0.0001,1.0,0.9878048780487805,0.0,0.9938650306748467,1.0,1.0,0.9880884448345983,0.9127042293548584
5,0.2,1e-05,0.0001,0.75,0.9512195121951219,0.3058823529411765,0.8387096774193549,0.8582496413199426,0.8335247138688656,0.6656042980264775,0.32766667008399963
Average,0.2,1e-05,0.0001,0.9005913978494624,0.9492506611813105,0.11294117647058824,0.921897912431259,0.9567952152944634,0.9505742590777675,0.8414822070437002,0.5577260255813599
