fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.7272727272727273,0.0,0.8421052631578947,0.9138755980861244,0.9231168831168832,0.7925270806437588,0.5172185897827148
2,0.2,1e-05,0.0001,0.5384615384615384,0.7,0.3157894736842105,0.6086956521739131,0.7052631578947368,0.5773742923742924,0.36720990919214974,0.503291666507721
3,0.2,1e-05,0.0001,0.5384615384615384,0.7,0.3157894736842105,0.6086956521739131,0.7263157894736842,0.6384890109890109,0.36720990919214974,0.5320428609848022
4,0.2,1e-05,0.0001,0.7142857142857143,0.5,0.10526315789473684,0.5882352941176471,0.7947368421052632,0.7335431959345002,0.4384540666452508,0.49579912424087524
5,0.2,1e-05,0.0001,1.0,0.1,0.0,0.18181818181818182,0.48421052631578954,0.49084639498432603,0.2604940361258638,0.5302941799163818
Average,0.2,1e-05,0.0001,0.7582417582417582,0.5454545454545454,0.14736842105263157,0.56591000868831,0.7248803827751197,0.6726739554798026,0.44517900035983454,0.5157293081283569
