fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,1,0.933333333,0,0.965517241,1,1,0.942809042,0.686890185
2,0.2,1.00E-05,0.0001,0.9,0.6,0.05,0.72,0.77,0.797579919,0.602494813,0.482388139
3,0.2,1.00E-05,0.0001,0.5,0.428571429,0.285714286,0.461538462,0.452380952,0.468781769,0.147441956,0.504218876
4,0.2,1.00E-05,0.0001,1,0.928571429,0,0.962962963,1,1,0.941468872,0.889146268
5,0.2,1.00E-05,0.0001,1,0.928571429,0,0.962962963,1,1,0.941468872,0.841336191
Average,0.2,1.00E-05,0.0001,0.88,0.763809524,0.067142857,0.814596326,0.84447619,0.853272337,0.715136711,0.680795968
