fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,0.9,0.5625,0.06666666666666667,0.6923076923076923,0.8125,0.8526019119769119,0.530068129792975,0.481266051530838
2,0.2,1e-05,0.0001,0.5909090909090909,0.8666666666666667,0.5625,0.7027027027027027,0.625,0.6219633407980681,0.334876478559268,0.43459489941596985
3,0.2,1e-05,0.0001,1.0,0.8666666666666667,0.0,0.9285714285714286,0.9791666666666667,0.9833333333333332,0.8777074514725111,0.42134881019592285
4,0.2,1e-05,0.0001,0.9090909090909091,0.6666666666666666,0.0625,0.7692307692307693,0.8875,0.8742325883037957,0.6310315028394047,0.5398067235946655
5,0.2,1e-05,0.0001,0.5833333333333334,0.9333333333333333,0.6666666666666666,0.717948717948718,0.5866666666666667,0.6200516442621705,0.3333333333333333,0.50209641456604
Average,0.2,1e-05,0.0001,0.7966666666666667,0.7791666666666666,0.27166666666666667,0.7621522621522623,0.7781666666666668,0.7904365637348558,0.5414033791994984,0.4758225381374359
