fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.7142857142857143,0.0,0.8333333333333334,0.943877551020408,0.9558672321830215,0.7453559924999299,0.6178252100944519
2,0.2,1e-05,0.0001,0.75,0.6428571428571429,0.21428571428571427,0.6923076923076923,0.7346938775510204,0.7695770711670755,0.43301270189221935,0.5041171312332153
3,0.2,1e-05,0.0001,0.8461538461538461,0.8461538461538461,0.13333333333333333,0.8461538461538461,0.8923076923076924,0.788312755620448,0.7128205128205128,0.524857759475708
4,0.2,1e-05,0.0001,1.0,0.9230769230769231,0.0,0.96,1.0,0.9999999999999998,0.9281909617845143,0.5289281010627747
5,0.2,1e-05,0.0001,0.0,0.0,0.0,0.0,0.26373626373626374,0.43720342099632714,0.0,0.5622358918190002
Average,0.2,1e-05,0.0001,0.7192307692307692,0.6252747252747254,0.06952380952380952,0.6663589743589744,0.7669230769230768,0.7901920959933744,0.5638760337994352,0.5475927591323853
