fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.9,0.0,0.9473684210526315,0.9973684210526317,0.9976190476190478,0.9023778112773576,0.4706214964389801
2,0.2,1e-05,0.0001,0.5925925925925926,0.8,0.5789473684210527,0.6808510638297872,0.5578947368421052,0.6001547344977652,0.23939494881986928,0.5095618963241577
3,0.2,1e-05,0.0001,1.0,0.95,0.0,0.9743589743589743,1.0,1.0000000000000002,0.95,0.847324013710022
4,0.2,1e-05,0.0001,0.9444444444444444,0.85,0.05263157894736842,0.8947368421052632,0.9710526315789473,0.9703360610071643,0.7994750784123957,0.2976066768169403
5,0.2,1e-05,0.0001,0.8095238095238095,0.8947368421052632,0.2,0.85,0.9052631578947369,0.8702799187775956,0.696572345547434,0.4259781837463379
Average,0.2,1e-05,0.0001,0.8693121693121693,0.8789473684210527,0.1663157894736842,0.8694630602693312,0.8863157894736842,0.8876779523803145,0.7175640368114113,0.5102184414863586
