fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,0.5462962962962963,0.7866666666666666,0.47115384615384615,0.644808743169399,0.6573076923076923,0.5365836737303499,0.3182169143857794,0.34395739436149597
2,0.2,1e-05,0.0001,0.6825396825396826,0.5733333333333334,0.19230769230769232,0.6231884057971014,0.6888461538461539,0.562528531296069,0.3936427293916074,0.418306827545166
3,0.2,1e-05,0.0001,0.5531914893617021,0.7027027027027027,0.4,0.6190476190476191,0.6885456885456885,0.6212413644219832,0.2985062429262192,0.4249018728733063
4,0.2,1e-05,0.0001,0.88,0.8918918918918919,0.08571428571428572,0.8859060402684564,0.9495495495495495,0.9449931167881438,0.8046257710405698,0.6083393096923828
5,0.2,1e-05,0.0001,0.5181818181818182,0.7702702702702703,0.5047619047619047,0.6195652173913043,0.6495495495495496,0.521891824535195,0.268638238223951,0.44355377554893494
Average,0.2,1e-05,0.0001,0.6360418572758998,0.7449729729729728,0.33078754578754577,0.678503205134776,0.7267597267597268,0.6374477021543481,0.4167259791936253,0.4478118419647217
