fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1e-05,0.0001,1.0,0.9642857142857143,0.0,0.9818181818181818,1.0,1.0,0.9669875568304563,0.8580570816993713
2,0.2,1e-05,0.0001,1.0,0.9629629629629629,0.0,0.9811320754716981,1.0,0.9999999999999998,0.9667680812251803,0.315270334482193
3,0.2,1e-05,0.0001,1.0,0.9629629629629629,0.0,0.9811320754716981,1.0,0.9999999999999998,0.9667680812251803,0.8133689165115356
4,0.2,1e-05,0.0001,1.0,0.9629629629629629,0.0,0.9811320754716981,1.0,0.9999999999999998,0.9667680812251803,0.7797337174415588
5,0.2,1e-05,0.0001,1.0,0.9629629629629629,0.0,0.9811320754716981,1.0,0.9999999999999998,0.9663241004526383,0.5797145962715149
Average,0.2,1e-05,0.0001,1.0,0.9632275132275131,0.0,0.9812692967409948,1.0,0.9999999999999998,0.9667231801917271,0.6692289113998413
