fold,dropout_rate,learning_rate,l2_regularization,Precision,Recall,FPR,F1 Score,ROC AUC,PRC AUC,MCC,Optimal Threshold
1,0.2,1.00E-05,0.0001,0.875,0.875,0.065420561,0.875,0.957443258,0.917851019,0.809579439,0.429158211
2,0.2,1.00E-05,0.0001,0.672413793,0.696428571,0.177570093,0.684210526,0.851802403,0.757523415,0.514666823,0.374637991
3,0.2,1.00E-05,0.0001,0.776119403,0.928571429,0.140186916,0.845528455,0.940754339,0.88391242,0.760940972,0.319019109
4,0.2,1.00E-05,0.0001,0.557894737,0.946428571,0.392523364,0.701986755,0.833778371,0.680579572,0.533463968,0.198786229
5,0.2,1.00E-05,0.0001,0.661971831,0.854545455,0.222222222,0.746031746,0.856902357,0.744606808,0.602988838,0.352864802
Average,0.2,1.00E-05,0.0001,0.708679953,0.860194805,0.199584631,0.770551497,0.888136146,0.796894647,0.644328008,0.334893286
